@PRODUCTS,YOKOGAWA,CENTUM,,,,,,,
6,4,08TIC-5092.PV,0,,,Default,1,1,1
6,5,08TIC-5098.PV,0,,,Default,1,1,1
6,6,08FIC-5054.PV,0,,,Default,1,1,1
6,7,08LIC-5044.PV,0,,,Default,1,1,1
6,8,08PIC-5352.PV,0,,,Default,1,1,1
7,1,08LIC-5162.PV,0,,,Default,1,1,1
7,2,08FIC-5062.PV,0,,,Default,1,1,1
7,3,08TIC-5220.PV,0,,,Default,1,1,1
7,4,08FIC-5021.PV,0,,,Default,1,1,1
7,5,08PIC-5030.PV,0,,,Default,1,1,1
7,6,08FFIC-5175.PV,0,,,Default,1,1,1
7,7,08LIC-5166.PV,0,,,Default,1,1,1
7,8,08FIC-5001.PV,0,,,Default,1,1,1
8,1,08LIC-5002.PV,0,,,Default,1,1,1
8,2,08PIC-5009.PV,0,,,Default,1,1,1
8,3,08PIC-5136.PV,0,,,Default,1,1,1
8,4,08FIC-5129.PV,0,,,Default,1,1,1
8,5,08FIC-5130.PV,0,,,Default,1,1,1
8,6,08LIC-5127.PV,0,,,Default,1,1,1
8,7,08TIC-5106.PV,0,,,Default,1,1,1
8,8,08LIC-7001.PV,0,,,Default,1,1,1
9,1,08FFIC-7040.PV,0,,,Default,1,1,1
9,2,08PIC-7031.PV,0,,,Default,1,1,1
9,3,08PIC-7034.PV,0,,,Default,1,1,1
9,4,08FIC-7045.PV,0,,,Default,1,1,1
9,5,08LIC-7021.PV,0,,,Default,1,1,1
9,6,08PIC-7005.PV,0,,,Default,1,1,1
9,7,08PIC-7069.PV,0,,,Default,1,1,1
9,8,08LIC-7045.PV,0,,,Default,1,1,1
10,1,08PIC-7063.PV,0,,,Default,1,1,1
10,2,08PIC-7061.PV,0,,,Default,1,1,1
10,3,08LIC-7024.PV,0,,,Default,1,1,1
10,4,08PIC-7062.PV,0,,,Default,1,1,1
10,5,08PIC-7082.PV,0,,,Default,1,1,1
10,6,08FIC-7197.PV,0,,,Default,1,1,1
10,7,08FIC-7029.PV,0,,,Default,1,1,1
10,8,08FIC-7042.PV,0,,,Default,1,1,1
11,1,08PIC-7154.PV,0,,,Default,1,1,1
11,2,08LIC-7056.PV,0,,,Default,1,1,1
11,3,08LIC-8028.PV,0,,,Default,1,1,1
11,4,08AIC-8037.PV,0,,,Default,1,1,1
11,5,08AIC-8038.PV,0,,,Default,1,1,1
11,6,08PIC-8093.PV,0,,,Default,1,1,1
11,7,08TIC-8029.PV,0,,,Default,1,1,1
11,8,08TIC-8053.PV,0,,,Default,1,1,1
12,1,08FFIC-8051.PV,0,,,Default,1,1,1
12,2,08AIC-8065.PV,0,,,Default,1,1,1
12,3,08PIC-8042.PV,0,,,Default,1,1,1
12,4,08LIC-8041.PV,0,,,Default,1,1,1
12,5,08LIC-8046.PV,0,,,Default,1,1,1
12,6,08AIC-8021.PV,0,,,Default,1,1,1
12,7,08PIC-8081.PV,0,,,Default,1,1,1
12,8,08PIC-8086.PV,0,,,Default,1,1,1
13,1,08AIC-8004.PV,0,,,Default,1,1,1
13,2,08PIC-8032.PV,0,,,Default,1,1,1
13,3,08FIC-8003.PV,0,,,Default,1,1,1
13,4,08FIC-9002.PV,0,,,Default,1,1,1
13,5,08FIC-9003.PV,0,,,Default,1,1,1
13,6,08FIC-9701.PV,0,,,Default,1,1,1
13,7,08AIC-9707.PV,0,,,Default,1,1,1
13,8,08LIC-9704.PV,0,,,Default,1,1,1
14,1,,0,,,Default,1,1,1
14,2,,0,,,Default,1,1,1
14,3,,0,,,Default,1,1,1
14,4,,0,,,Default,1,1,1
14,5,,0,,,Default,1,1,1
14,6,,0,,,Default,1,1,1
14,7,,0,,,Default,1,1,1
14,8,,0,,,Default,1,1,1
15,1,,0,,,Default,1,1,1
15,2,,0,,,Default,1,1,1
15,3,,0,,,Default,1,1,1
15,4,,0,,,Default,1,1,1
15,5,,0,,,Default,1,1,1
15,6,,0,,,Default,1,1,1
15,7,,0,,,Default,1,1,1
15,8,,0,,,Default,1,1,1
16,1,,0,,,Default,1,1,1
16,2,,0,,,Default,1,1,1
16,3,,0,,,Default,1,1,1
16,4,,0,,,Default,1,1,1
16,5,,0,,,Default,1,1,1
16,6,,0,,,Default,1,1,1
16,7,,0,,,Default,1,1,1
16,8,,0,,,Default,1,1,1
